名次,昵称,组别,总分,最后提交时间
1,Aqua Cat #喵喵喵???,,5901,2024-10-19 11:56:33
2,undef_baka #YUKI.N,,4789,2024-10-18 18:01:45
3,yyyr #不会algo #关注@喵de盎然君 谢谢喵,,4168,2024-10-18 23:00:51
4,肚圆圆食堂,,4002,2024-10-19 11:44:24
5,闭灯s #想学Web,,3556,2024-10-17 02:23:27
6,加大号的猫 🐱🏳️‍⚧️ #不懂算法 #reimu.moe,,3542,2024-10-17 17:14:56
7,心都黒ろ #（囯外）,,3395,2024-10-19 05:21:27
8,JingBh #只会web #github.com/JingBh,,3387,2024-10-17 13:57:56
9,ShellWen #动物园里的动物都是福瑞扮的#,,3346,2024-10-18 13:44:53
10,luoingly #洛樱 #CTF好难啊不会做怎么办,,3305,2024-10-17 15:25:33
11,songhongyi #萌新想拿纪念品，好哥哥们轻虐,,3151,2024-10-18 08:19:03
12,Ishisashi #和CT打一辈子CTF #想阿冯,,3127,2024-10-19 11:47:51
13,idawnlight # 真的只会 web,,3001,2024-10-17 13:18:03
14,Testla,,2936,2024-10-19 04:12:24
15,柏园猫,,2924,2024-10-18 13:28:16
16,sln.1550,,2827,2024-10-17 19:04:07
17,WeiBaYaoYao,,2669,2024-10-16 22:04:00
18,LetianYuan # 一叶飘零的粉丝,,2610,2024-10-18 16:29:39
19,a1paca #Link粉丝,,2606,2024-10-17 17:46:21
20,hhh #不屯flag,,2598,2024-10-16 02:34:42
21,yemaster #flag和她皆不可得,,2530,2024-10-19 09:03:01
22,nyyyddddn #私の0721を見てください！,,2429,2024-10-19 01:40:39
23,夏鸢 #月下梦中思鸢影 #想追求可爱却是原罪,,2335,2024-10-18 23:49:16
24,rogeryoungh,,2307,2024-10-19 00:36:38
25,kaede,,2274,2024-10-16 03:33:02
26,JOHNKRAM,,2264,2024-10-19 01:26:22
27,wind_mask,,2260,2024-10-18 22:24:56
28,GregTao,,2250,2024-10-19 00:09:10
29,风的影子,,2146,2024-10-18 06:54:18
30,e,,2083,2024-10-19 03:52:47
31,葛城莉莉娅的老公 #学マス,,2068,2024-10-17 15:03:11
32,LTC,,2036,2024-10-17 22:29:11
33,fantasy_sky,,2031,2024-10-18 19:19:26
34,GWDx,,1955,2024-10-19 11:55:11
35,🦐,,1941,2024-10-13 06:19:58
36,weifeng #2356,,1919,2024-10-19 01:42:54
37,RenzukaCtone,,1917,2024-10-18 13:45:48
38,sxzz #github.com/sxzz,,1855,2024-10-18 01:26:01
39,flykai,,1750,2024-10-18 13:03:08
40,wuul,,1652,2024-10-16 17:34:21
41,XXXX,,1642,2024-10-19 11:21:48
42,银河-蜗牛 #galaxysnail,,1576,2024-10-17 01:43:17
43,  飞翔的企鹅 #ctf太难了,,1575,2024-10-17 22:13:23
44,1xx55 #投降喵,,1570,2024-10-18 17:31:59
45,lucifer1004,,1557,2024-10-17 23:25:58
46,Shelling,,1508,2024-10-16 00:33:08
47,slmhh,,1502,2024-10-17 13:00:24
48,BadCodeBuilder #毕业论文！！！,,1494,2024-10-19 04:09:23
49,LGiki #CTF太难了QAQ,,1443,2024-10-16 12:57:59
50,4qwerty7,,1388,2024-10-15 11:18:22
51,ETW_Zero #只会misc的弱子 #呜呜呜,,1379,2024-10-17 18:44:14
52,imLZH1,,1345,2024-10-17 03:20:37
53,SparroooooowHe,,1342,2024-10-17 13:59:48
54,woodwhale,,1331,2024-10-18 15:27:01
55,memset0 #mcfxの粉丝 #ranwenの粉丝,,1278,2024-10-14 12:53:00
56,qeevee,,1267,2024-10-17 16:17:15
57,flying_doraemon,,1264,2024-10-18 15:27:44
58,pettter,,1237,2024-10-18 23:05:25
59,Everybody From 313,,1231,2024-10-19 09:54:15
60,axp,,1186,2024-10-18 10:28:20
61,苏氨酸 #今年就玩到这里,,1185,2024-10-17 13:25:11
62,jht3,,1175,2024-10-14 13:39:58
63,ringo451,,1161,2024-10-15 22:38:32
64,k,,1146,2024-10-15 17:19:49
65,三叉街 #已退休 #白云东平 #盖山竹榄,,1143,2024-10-14 21:34:00
66,Phrinky #关注ヰ世界情緒谢谢喵,,1143,2024-10-17 13:48:56
67,cyrus28214,,1124,2024-10-14 19:51:16
68,妈船 #关注25时谢谢喵,,1122,2024-10-18 15:28:04
69,plottwist,,1114,2024-10-17 13:06:45
70,吃货q,,1106,2024-10-14 19:11:00
71,Mako #Ciallo～(∠・ω< )⌒★,,1104,2024-10-18 22:30:17
72,114-514,,1084,2024-10-18 22:39:18
73,waiwai,,1067,2024-10-16 09:27:53
74,小n #兄弟你好香 #giveup,,1064,2024-10-18 14:24:17
